"SAEMP25N Total Full-Time and Part-Time Employment by NAICS Industry 1/"
"(Number of jobs)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2018"
"00000","United States","1003","        Securities, commodity contracts, and other financial investments and related activities",3756300
"00000","United States","1004","        Insurance carriers and related activities",3386600
"00000","United States","1005","        Funds, trusts, and other financial vehicles",408900
"00000","United States","1100","      Real estate and rental and leasing",9504800
"00000","United States","1101","        Real estate",8700300
"00000","United States","1102","        Rental and leasing services",778000
"00000","United States","1103","        Lessors of nonfinancial intangible assets (except copyrighted works)",26500
"00000","United States","1200","      Professional, scientific, and technical services",14203900
"00000","United States","1300","      Management of companies and enterprises",2669500
"00000","United States","1400","      Administrative and support and waste management and remediation services",12472900
"00000","United States","1401","        Administrative and support services",12007500
"00000","United States","1402","        Waste management and remediation services",465400
"00000","United States","1500","      Educational services",4771700
"00000","United States","1600","      Health care and social assistance",22619800
"00000","United States","1601","        Ambulatory health care services",9070800
"00000","United States","1602","        Hospitals",5137500
"00000","United States","1603","        Nursing and residential care facilities",3521300
"00000","United States","1604","        Social assistance",4890200
"00000","United States","1700","      Arts, entertainment, and recreation",4684900
"00000","United States","1701","        Performing arts, spectator sports, and related industries",2464600
"00000","United States","1702","        Museums, historical sites, and similar institutions",175100
"00000","United States","1703","        Amusement, gambling, and recreation industries",2045200
"00000","United States","1800","      Accommodation and food services",15077500
"00000","United States","1801","        Accommodation",2296000
"00000","United States","1802","        Food services and drinking places",12781500
"00000","United States","1900","      Other services (except government and government enterprises)",11257900
"00000","United States","1901","        Repair and maintenance",2380000
"00000","United States","1902","        Personal and laundry services",4236500
"00000","United States","1903","        Religious, grantmaking, civic, professional, and similar organizations",3360400
"00000","United States","1904","        Private households",1281000
"00000","United States","2000","    Government and government enterprises",24543000
"00000","United States","2001","      Federal civilian",2849000
"00000","United States","2002","      Military",1922000
"00000","United States","2010","      State and local",19772000
"00000","United States","2011","        State government",5395000
"00000","United States","2012","        Local government",14377000
"01000","Alabama","","Employment by place of work",""
"01000","Alabama","10","Total employment (number of jobs)",2691517
"01000","Alabama","","By type",""
"01000","Alabama","20","  Wage and salary employment",2097496
"01000","Alabama","40","  Proprietors employment",594021
"01000","Alabama","50","    Farm proprietors employment",34969
"01000","Alabama","60","    Nonfarm proprietors employment 2/",559052
"01000","Alabama","","By industry",""
"01000","Alabama","70","  Farm employment",42220
"01000","Alabama","80","  Nonfarm employment",2649297
"01000","Alabama","90","    Private nonfarm employment",2244830
"01000","Alabama","100","      Forestry, fishing, and related activities",15895
"01000","Alabama","101","        Forestry and logging",6759
"01000","Alabama","102","        Fishing, hunting and trapping",1515
"01000","Alabama","103","        Support activities for agriculture and forestry",7621
"01000","Alabama","200","      Mining, quarrying, and oil and gas extraction",10560
"01000","Alabama","201","        Oil and gas extraction",3060
"01000","Alabama","202","        Mining (except oil and gas)",6149
"01000","Alabama","203","        Support activities for mining",1351
"01000","Alabama","300","      Utilities",14176
"01000","Alabama","400","      Construction",148326
"01000","Alabama","401","        Construction of buildings",32071
"01000","Alabama","402","        Heavy and civil engineering construction",21100
"01000","Alabama","403","        Specialty trade contractors",95155
"01000","Alabama","500","      Manufacturing",277818
"01000","Alabama","510","        Durable goods manufacturing",180559
"01000","Alabama","511","          Wood product manufacturing",18211
"01000","Alabama","512","          Nonmetallic mineral product manufacturing",7718
"01000","Alabama","513","          Primary metal manufacturing",17395
"01000","Alabama","514","          Fabricated metal product manufacturing",27776
"01000","Alabama","515","          Machinery manufacturing",11475
"01000","Alabama","516","          Computer and electronic product manufacturing",9116
"01000","Alabama","517","          Electrical equipment, appliance, and component manufacturing",5572
"01000","Alabama","518","          Motor vehicles, bodies and trailers, and parts manufacturing",43911
"01000","Alabama","519","          Other transportation equipment manufacturing",20480
"01000","Alabama","521","          Furniture and related product manufacturing",10168
"01000","Alabama","522","          Miscellaneous manufacturing",8737
"01000","Alabama","530","        Nondurable goods manufacturing",97259
"01000","Alabama","531","          Food manufacturing",34219
"01000","Alabama","532","          Beverage and tobacco product manufacturing",2378
"01000","Alabama","533","          Textile mills",5324
"01000","Alabama","534","          Textile product mills",4014
"01000","Alabama","535","          Apparel manufacturing",3362
"01000","Alabama","536","          Leather and allied product manufacturing",174
"01000","Alabama","537","          Paper manufacturing",11879
"01000","Alabama","538","          Printing and related support activities",4226
"01000","Alabama","539","          Petroleum and coal products manufacturing",2478
"01000","Alabama","541","          Chemical manufacturing",10831
"01000","Alabama","542","          Plastics and rubber products manufacturing",18374
"01000","Alabama","600","      Wholesale trade",80467
"01000","Alabama","700","      Retail trade",283951
"01000","Alabama","701","        Motor vehicle and parts dealers",37286
"01000","Alabama","702","        Furniture and home furnishings stores",7907
"01000","Alabama","703","        Electronics and appliance stores",6747
"01000","Alabama","704","        Building material and garden equipment and supplies dealers",22053
"01000","Alabama","705","        Food and beverage stores",34760
"01000","Alabama","706","        Health and personal care stores",19912
"01000","Alabama","707","        Gasoline stations",19884
"01000","Alabama","708","        Clothing and clothing accessories stores",20800
"01000","Alabama","709","        Sporting goods, hobby, musical instrument, and book stores",11939
"01000","Alabama","711","        General merchandise stores",59273
"01000","Alabama","712","        Miscellaneous store retailers",23507
"01000","Alabama","713","        Nonstore retailers",19883
"01000","Alabama","800","      Transportation and warehousing",92524
"01000","Alabama","801","        Air transportation",1806
"01000","Alabama","802","        Rail transportation",3180
"01000","Alabama","803","        Water transportation",550
"01000","Alabama","804","        Truck transportation",39301
"01000","Alabama","805","        Transit and ground passenger transportation",7901
"01000","Alabama","806","        Pipeline transportation",663
"01000","Alabama","807","        Scenic and sightseeing transportation",328
"01000","Alabama","808","        Support activities for transportation",9477
"01000","Alabama","809","        Couriers and messengers",11825
"01000","Alabama","811","        Warehousing and storage",17493
"01000","Alabama","900","      Information",28091
"01000","Alabama","901","        Publishing industries (except Internet)",6313
"01000","Alabama","902","        Motion picture and sound recording industries",2465
"01000","Alabama","903","        Broadcasting (except Internet)",4229
"01000","Alabama","904","        Internet publishing and broadcasting 3/","(NA)"
"01000","Alabama","905","        Telecommunications",11012
"01000","Alabama","906","        Data processing, hosting, and related services",3403
"01000","Alabama","907","        Other information services 3/",669
"01000","Alabama","1000","      Finance and insurance",113388
"01000","Alabama","1001","        Monetary Authorities-central bank","(D)"
"01000","Alabama","1002","        Credit intermediation and related activities",42655
"01000","Alabama","1003","        Securities, commodity contracts, and other financial investments and related activities",27824
"01000","Alabama","1004","        Insurance carriers and related activities",40149
"01000","Alabama","1005","        Funds, trusts, and other financial vehicles","(D)"
"01000","Alabama","1100","      Real estate and rental and leasing",110086
"01000","Alabama","1101","        Real estate",101665
"01000","Alabama","1102","        Rental and leasing services",8296
"01000","Alabama","1103","        Lessors of nonfinancial intangible assets (except copyrighted works)",125
"01000","Alabama","1200","      Professional, scientific, and technical services",154593
"01000","Alabama","1300","      Management of companies and enterprises",18464
"01000","Alabama","1400","      Administrative and support and waste management and remediation services",186008
"01000","Alabama","1401","        Administrative and support services",180424
"01000","Alabama","1402","        Waste management and remediation services",5584
"01000","Alabama","1500","      Educational services",42602
"01000","Alabama","1600","      Health care and social assistance",253353
"01000","Alabama","1601","        Ambulatory health care services",117549
"01000","Alabama","1602","        Hospitals",51585
"01000","Alabama","1603","        Nursing and residential care facilities",47151
"01000","Alabama","1604","        Social assistance",37068
"01000","Alabama","1700","      Arts, entertainment, and recreation",41751
"01000","Alabama","1701","        Performing arts, spectator sports, and related industries",18849
"01000","Alabama","1702","        Museums, historical sites, and similar institutions",1610
"01000","Alabama","1703","        Amusement, gambling, and recreation industries",21292
"01000","Alabama","1800","      Accommodation and food services",201350
"01000","Alabama","1801","        Accommodation",20812
"01000","Alabama","1802","        Food services and drinking places",180538
"01000","Alabama","1900","      Other services (except government and government enterprises)",171427
"01000","Alabama","1901","        Repair and maintenance",37251
"01000","Alabama","1902","        Personal and laundry services",60144
"01000","Alabama","1903","        Religious, grantmaking, civic, professional, and similar organizations",60204
"01000","Alabama","1904","        Private households",13828
"01000","Alabama","2000","    Government and government enterprises",404467
"01000","Alabama","2001","      Federal civilian",53078
"01000","Alabama","2002","      Military",28629
"01000","Alabama","2010","      State and local",322760
"01000","Alabama","2011","        State government",106914
"01000","Alabama","2012","        Local government",215846
"02000","Alaska","","Employment by place of work",""
"02000","Alaska","10","Total employment (number of jobs)",459178
"02000","Alaska","","By type",""
"02000","Alaska","20","  Wage and salary employment",356279
"02000","Alaska","40","  Proprietors employment",102899
"02000","Alaska","50","    Farm proprietors employment",856
"02000","Alaska","60","    Nonfarm proprietors employment 2/",102043
"02000","Alaska","","By industry",""
"02000","Alaska","70","  Farm employment",1579
"02000","Alaska","80","  Nonfarm employment",457599
"02000","Alaska","90","    Private nonfarm employment",354732
"02000","Alaska","100","      Forestry, fishing, and related activities",10058
"02000","Alaska","101","        Forestry and logging",401
"02000","Alaska","102","        Fishing, hunting and trapping","(D)"
"02000","Alaska","103","        Support activities for agriculture and forestry","(D)"
"02000","Alaska","200","      Mining, quarrying, and oil and gas extraction",16586
"02000","Alaska","201","        Oil and gas extraction",4162
"02000","Alaska","202","        Mining (except oil and gas)",6148
"02000","Alaska","203","        Support activities for mining",6276
"02000","Alaska","300","      Utilities",2312
"02000","Alaska","400","      Construction",23613
"02000","Alaska","401","        Construction of buildings",6215
"02000","Alaska","402","        Heavy and civil engineering construction",5040
"02000","Alaska","403","        Specialty trade contractors",12358
"02000","Alaska","500","      Manufacturing",15628
"02000","Alaska","510","        Durable goods manufacturing",3839
"02000","Alaska","511","          Wood product manufacturing",653
"02000","Alaska","512","          Nonmetallic mineral product manufacturing",441
"02000","Alaska","513","          Primary metal manufacturing",38
"02000","Alaska","514","          Fabricated metal product manufacturing",595
"02000","Alaska","515","          Machinery manufacturing",141
"02000","Alaska","516","          Computer and electronic product manufacturing",142
"02000","Alaska","517","          Electrical equipment, appliance, and component manufacturing",26
"02000","Alaska","518","          Motor vehicles, bodies and trailers, and parts manufacturing","(D)"
"02000","Alaska","519","          Other transportation equipment manufacturing","(D)"
"02000","Alaska","521","          Furniture and related product manufacturing","(D)"
"02000","Alaska","522","          Miscellaneous manufacturing",859
"02000","Alaska","530","        Nondurable goods manufacturing",11789
"02000","Alaska","531","          Food manufacturing",9713
"02000","Alaska","532","          Beverage and tobacco product manufacturing",564
"02000","Alaska","533","          Textile mills","(D)"
"02000","Alaska","534","          Textile product mills",137
"02000","Alaska","535","          Apparel manufacturing","(D)"
"02000","Alaska","536","          Leather and allied product manufacturing",131
"02000","Alaska","537","          Paper manufacturing","(D)"
"02000","Alaska","538","          Printing and related support activities",420
"02000","Alaska","539","          Petroleum and coal products manufacturing",351
"02000","Alaska","541","          Chemical manufacturing",148
"02000","Alaska","542","          Plastics and rubber products manufacturing","(D)"
"02000","Alaska","600","      Wholesale trade",7198
"02000","Alaska","700","      Retail trade",45302
"02000","Alaska","701","        Motor vehicle and parts dealers",4413
"02000","Alaska","702","        Furniture and home furnishings stores",898
"02000","Alaska","703","        Electronics and appliance stores",652
"02000","Alaska","704","        Building material and garden equipment and supplies dealers",3648
"02000","Alaska","705","        Food and beverage stores",5856
"02000","Alaska","706","        Health and personal care stores",1524
"02000","Alaska","707","        Gasoline stations",1887
"02000","Alaska","708","        Clothing and clothing accessories stores",2486
"02000","Alaska","709","        Sporting goods, hobby, musical instrument, and book stores",2799
"02000","Alaska","711","        General merchandise stores",10675
"02000","Alaska","712","        Miscellaneous store retailers",5012
"02000","Alaska","713","        Nonstore retailers",5452
"02000","Alaska","800","      Transportation and warehousing",26952
"02000","Alaska","801","        Air transportation",7132
"02000","Alaska","802","        Rail transportation",3
"02000","Alaska","803","        Water transportation",1457
"02000","Alaska","804","        Truck transportation",3267
"02000","Alaska","805","        Transit and ground passenger transportation",4028
"02000","Alaska","806","        Pipeline transportation","(D)"
"02000","Alaska","807","        Scenic and sightseeing transportation",2563
"02000","Alaska","808","        Support activities for transportation",2970
"02000","Alaska","809","        Couriers and messengers","(D)"
"02000","Alaska","811","        Warehousing and storage",1536
"02000","Alaska","900","      Information",6828
"02000","Alaska","901","        Publishing industries (except Internet)",863
"02000","Alaska","902","        Motion picture and sound recording industries",627
"02000","Alaska","903","        Broadcasting (except Internet)",838
"02000","Alaska","904","        Internet publishing and broadcasting 3/","(NA)"
"02000","Alaska","905","        Telecommunications",4108
"02000","Alaska","906","        Data processing, hosting, and related services",239
"02000","Alaska","907","        Other information services 3/",153
"02000","Alaska","1000","      Finance and insurance",11342
"02000","Alaska","1001","        Monetary Authorities-central bank",0
"02000","Alaska","1002","        Credit intermediation and related activities",4835
"02000","Alaska","1003","        Securities, commodity contracts, and other financial investments and related activities","(D)"
"02000","Alaska","1004","        Insurance carriers and related activities",2614
"02000","Alaska","1005","        Funds, trusts, and other financial vehicles","(D)"
"02000","Alaska","1100","      Real estate and rental and leasing",17770
"02000","Alaska","1101","        Real estate",14748
"02000","Alaska","1102","        Rental and leasing services","(D)"
"02000","Alaska","1103","        Lessors of nonfinancial intangible assets (except copyrighted works)","(D)"
"02000","Alaska","1200","      Professional, scientific, and technical services",23287
"02000","Alaska","1300","      Management of companies and enterprises",3486
"02000","Alaska","1400","      Administrative and support and waste management and remediation services",16994
"02000","Alaska","1401","        Administrative and support services",15251
"02000","Alaska","1402","        Waste management and remediation services",1743
"02000","Alaska","1500","      Educational services",6132
"02000","Alaska","1600","      Health care and social assistance",53035
"02000","Alaska","1601","        Ambulatory health care services",24009
"02000","Alaska","1602","        Hospitals",13303
"02000","Alaska","1603","        Nursing and residential care facilities",4414
"02000","Alaska","1604","        Social assistance",11309
"02000","Alaska","1700","      Arts, entertainment, and recreation",11242
"02000","Alaska","1701","        Performing arts, spectator sports, and related industries",5279
"02000","Alaska","1702","        Museums, historical sites, and similar institutions",459
"02000","Alaska","1703","        Amusement, gambling, and recreation industries",5504
"02000","Alaska","1800","      Accommodation and food services",36131
"02000","Alaska","1801","        Accommodation",12094
"02000","Alaska","1802","        Food services and drinking places",24037
"02000","Alaska","1900","      Other services (except government and government enterprises)",20836
"02000","Alaska","1901","        Repair and maintenance",5103
"02000","Alaska","1902","        Personal and laundry services",5707
"02000","Alaska","1903","        Religious, grantmaking, civic, professional, and similar organizations",8181
"02000","Alaska","1904","        Private households",1845
"02000","Alaska","2000","    Government and government enterprises",102867
"02000","Alaska","2001","      Federal civilian",14893
"02000","Alaska","2002","      Military",25783
"02000","Alaska","2010","      State and local",62191
"02000","Alaska","2011","        State government",23581
"02000","Alaska","2012","        Local government",38610
"04000","Arizona","","Employment by place of work",""
"04000","Arizona","10","Total employment (number of jobs)",3859137
"04000","Arizona","","By type",""
"04000","Arizona","20","  Wage and salary employment",2961477
"04000","Arizona","40","  Proprietors employment",897660
"04000","Arizona","50","    Farm proprietors employment",18301
"04000","Arizona","60","    Nonfarm proprietors employment 2/",879359
"04000","Arizona","","By industry",""
"04000","Arizona","70","  Farm employment",31132
"04000","Arizona","80","  Nonfarm employment",3828005
"04000","Arizona","90","    Private nonfarm employment",3375646
"04000","Arizona","100","      Forestry, fishing, and related activities",16224
"04000","Arizona","101","        Forestry and logging",379
"04000","Arizona","102","        Fishing, hunting and trapping",722
"04000","Arizona","103","        Support activities for agriculture and forestry",15123
"04000","Arizona","200","      Mining, quarrying, and oil and gas extraction",22490
"04000","Arizona","201","        Oil and gas extraction",6477
"04000","Arizona","202","        Mining (except oil and gas)",14564
"04000","Arizona","203","        Support activities for mining",1449
"04000","Arizona","300","      Utilities",12754
"04000","Arizona","400","      Construction",217751
"04000","Arizona","401","        Construction of buildings",43639
"04000","Arizona","402","        Heavy and civil engineering construction",21282
"04000","Arizona","403","        Specialty trade contractors",152830
"04000","Arizona","500","      Manufacturing",185529
"04000","Arizona","510","        Durable goods manufacturing",138788
"04000","Arizona","511","          Wood product manufacturing",5714
"04000","Arizona","512","          Nonmetallic mineral product manufacturing",8003
"04000","Arizona","513","          Primary metal manufacturing",3767
"04000","Arizona","514","          Fabricated metal product manufacturing",21827
"04000","Arizona","515","          Machinery manufacturing",8665
"04000","Arizona","516","          Computer and electronic product manufacturing",32403
"04000","Arizona","517","          Electrical equipment, appliance, and component manufacturing",3953
"04000","Arizona","518","          Motor vehicles, bodies and trailers, and parts manufacturing",3279
"04000","Arizona","519","          Other transportation equipment manufacturing",28910
"04000","Arizona","521","          Furniture and related product manufacturing",6977
"04000","Arizona","522","          Miscellaneous manufacturing",15290
"04000","Arizona","530","        Nondurable goods manufacturing",46741
"04000","Arizona","531","          Food manufacturing",15666
"04000","Arizona","532","          Beverage and tobacco product manufacturing",4740
"04000","Arizona","533","          Textile mills",275
"04000","Arizona","534","          Textile product mills",875
"04000","Arizona","535","          Apparel manufacturing",1165
"04000","Arizona","536","          Leather and allied product manufacturing",544
"04000","Arizona","537","          Paper manufacturing",2127
"04000","Arizona","538","          Printing and related support activities",7481
"04000","Arizona","539","          Petroleum and coal products manufacturing",292
"04000","Arizona","541","          Chemical manufacturing",8091
"04000","Arizona","542","          Plastics and rubber products manufacturing",5485
"04000","Arizona","600","      Wholesale trade",107855
"04000","Arizona","700","      Retail trade",397476
"04000","Arizona","701","        Motor vehicle and parts dealers",51205
"04000","Arizona","702","        Furniture and home furnishings stores",12030
"04000","Arizona","703","        Electronics and appliance stores",11263
"04000","Arizona","704","        Building material and garden equipment and supplies dealers",27522
"04000","Arizona","705","        Food and beverage stores",62672
"04000","Arizona","706","        Health and personal care stores",23094
"04000","Arizona","707","        Gasoline stations",18012
"04000","Arizona","708","        Clothing and clothing accessories stores",26480
"04000","Arizona","709","        Sporting goods, hobby, musical instrument, and book stores",14679
"04000","Arizona","711","        General merchandise stores",65864
"04000","Arizona","712","        Miscellaneous store retailers",35913
"04000","Arizona","713","        Nonstore retailers",48742
"04000","Arizona","800","      Transportation and warehousing",180510
"04000","Arizona","801","        Air transportation",16087
"04000","Arizona","802","        Rail transportation","(D)"
"04000","Arizona","803","        Water transportation",106
"04000","Arizona","804","        Truck transportation",34063
"04000","Arizona","805","        Transit and ground passenger transportation",53321
"04000","Arizona","806","        Pipeline transportation",461
"04000","Arizona","807","        Scenic and sightseeing transportation",1300
"04000","Arizona","808","        Support activities for transportation",14629
"04000","Arizona","809","        Couriers and messengers","(D)"
"04000","Arizona","811","        Warehousing and storage",29837
"04000","Arizona","900","      Information",60266
"04000","Arizona","901","        Publishing industries (except Internet)",11685
"04000","Arizona","902","        Motion picture and sound recording industries",8159
"04000","Arizona","903","        Broadcasting (except Internet)",4895
"04000","Arizona","904","        Internet publishing and broadcasting 3/","(NA)"
"04000","Arizona","905","        Telecommunications",20064
"04000","Arizona","906","        Data processing, hosting, and related services",11708
"04000","Arizona","907","        Other information services 3/",3755
"04000","Arizona","1000","      Finance and insurance",250251
"04000","Arizona","1001","        Monetary Authorities-central bank",72
"04000","Arizona","1002","        Credit intermediation and related activities",92336
"04000","Arizona","1003","        Securities, commodity contracts, and other financial investments and related activities",73879
"04000","Arizona","1004","        Insurance carriers and related activities",75192
"04000","Arizona","1005","        Funds, trusts, and other financial vehicles",8772
"04000","Arizona","1100","      Real estate and rental and leasing",222657
"04000","Arizona","1101","        Real estate",201859
"04000","Arizona","1102","        Rental and leasing services",19912
"04000","Arizona","1103","        Lessors of nonfinancial intangible assets (except copyrighted works)",886
"04000","Arizona","1200","      Professional, scientific, and technical services",249512
"04000","Arizona","1300","      Management of companies and enterprises",37047
"04000","Arizona","1400","      Administrative and support and waste management and remediation services",313964
"04000","Arizona","1401","        Administrative and support services",306987
"04000","Arizona","1402","        Waste management and remediation services",6977
"04000","Arizona","1500","      Educational services",80180
"04000","Arizona","1600","      Health care and social assistance",431457
"04000","Arizona","1601","        Ambulatory health care services",196942
"04000","Arizona","1602","        Hospitals",98126
"04000","Arizona","1603","        Nursing and residential care facilities",60456
"04000","Arizona","1604","        Social assistance",75933
"04000","Arizona","1700","      Arts, entertainment, and recreation",86860
"04000","Arizona","1701","        Performing arts, spectator sports, and related industries",45739
"04000","Arizona","1702","        Museums, historical sites, and similar institutions",3161
"04000","Arizona","1703","        Amusement, gambling, and recreation industries",37960
"04000","Arizona","1800","      Accommodation and food services",304499
"04000","Arizona","1801","        Accommodation",51900
"04000","Arizona","1802","        Food services and drinking places",252599
"04000","Arizona","1900","      Other services (except government and government enterprises)",198364
"04000","Arizona","1901","        Repair and maintenance",49187
"04000","Arizona","1902","        Personal and laundry services",76236
"04000","Arizona","1903","        Religious, grantmaking, civic, professional, and similar organizations",44649
"04000","Arizona","1904","        Private households",28292
"04000","Arizona","2000","    Government and government enterprises",452359
"04000","Arizona","2001","      Federal civilian",55679
"04000","Arizona","2002","      Military",34033
"04000","Arizona","2010","      State and local",362647
"04000","Arizona","2011","        State government",93895
"04000","Arizona","2012","        Local government",268752
"05000","Arkansas","","Employment by place of work",""
"05000","Arkansas","10","Total employment (number of jobs)",1663188
"05000","Arkansas","","By type",""
"05000","Arkansas","20","  Wage and salary employment",1296353
"05000","Arkansas","40","  Proprietors employment",366835
"05000","Arkansas","50","    Farm proprietors employment",38775
"05000","Arkansas","60","    Nonfarm proprietors employment 2/",328060
"05000","Arkansas","","By industry",""
"05000","Arkansas","70","  Farm employment",52607
"05000","Arkansas","80","  Nonfarm employment",1610581
"05000","Arkansas","90","    Private nonfarm employment",1383910
"05000","Arkansas","100","      Forestry, fishing, and related activities",14747
"05000","Arkansas","101","        Forestry and logging",4248
"05000","Arkansas","102","        Fishing, hunting and trapping",784
"05000","Arkansas","103","        Support activities for agriculture and forestry",9715
"05000","Arkansas","200","      Mining, quarrying, and oil and gas extraction",13034
"05000","Arkansas","201","        Oil and gas extraction",8203
"05000","Arkansas","202","        Mining (except oil and gas)",2860
"05000","Arkansas","203","        Support activities for mining",1971
"05000","Arkansas","300","      Utilities",8065
"05000","Arkansas","400","      Construction",90902
"05000","Arkansas","401","        Construction of buildings",18620
"05000","Arkansas","402","        Heavy and civil engineering construction",10918
"05000","Arkansas","403","        Specialty trade contractors",61364
"05000","Arkansas","500","      Manufacturing",167076
"05000","Arkansas","510","        Durable goods manufacturing",80334
"05000","Arkansas","511","          Wood product manufacturing",10609
"05000","Arkansas","512","          Nonmetallic mineral product manufacturing",4021
"05000","Arkansas","513","          Primary metal manufacturing",8214
"05000","Arkansas","514","          Fabricated metal product manufacturing",16050
"05000","Arkansas","515","          Machinery manufacturing",11991
"05000","Arkansas","516","          Computer and electronic product manufacturing",2185
"05000","Arkansas","517","          Electrical equipment, appliance, and component manufacturing",4774
"05000","Arkansas","518","          Motor vehicles, bodies and trailers, and parts manufacturing","(D)"
"05000","Arkansas","519","          Other transportation equipment manufacturing","(D)"
"05000","Arkansas","521","          Furniture and related product manufacturing",3969
"05000","Arkansas","522","          Miscellaneous manufacturing",4316
"05000","Arkansas","530","        Nondurable goods manufacturing",86742
"05000","Arkansas","531","          Food manufacturing",49235
"05000","Arkansas","532","          Beverage and tobacco product manufacturing",1591
"05000","Arkansas","533","          Textile mills",150
"05000","Arkansas","534","          Textile product mills",1013
"05000","Arkansas","535","          Apparel manufacturing",1118
"05000","Arkansas","536","          Leather and allied product manufacturing",1209
"05000","Arkansas","537","          Paper manufacturing",9671
"05000","Arkansas","538","          Printing and related support activities",4338
"05000","Arkansas","539","          Petroleum and coal products manufacturing",1347
"05000","Arkansas","541","          Chemical manufacturing",6050
"05000","Arkansas","542","          Plastics and rubber products manufacturing",11020
"05000","Arkansas","600","      Wholesale trade",50605
