"NTD ID","Agency Name","Time Period","num_trips","passenger_miles"
"0R03-00406","Smith6 LLC (Provide-A-Ride)","Annual Total",3957,0
"0R03-60208","Greyhound Lines, Inc.","Annual Total",7125,0
"0R04-00327","Valley Transit","Annual Total",62037,0
"0R04-00340","Senior Citizens of Kodiak, Inc.","Annual Total",21083,0
"0R04-00345","Glacier Valley Transit","Annual Total",88987,0
"0R04-00354","Catholic Community Service, Sitka","Annual Total",8663,0
"0R04-00358","Ketchikan Gateway Borough","Annual Total",403662,0
"0R04-00378","Central Area Rural Transit System, Inc.","Annual Total",27979,0
"0R04-00379","Interior Alaska Bus Line","Annual Total",1903,0
"0R04-00382","Inter-Island Ferry Authority","Annual Total",42237,0
"0R04-00387","City of Bethel","Annual Total",25058,0
"0R04-00391","City and Borough of Juneau","Annual Total",1064649,0
"0R04-00399","Sunshine Transit Coalition","Annual Total",14497,0
"1","King County Department of Metro Transit","Annual Total",129054197,621895985
"1","King County Department of Metro Transit","Average Weekday",429277,2146330
"1","King County Department of Metro Transit","Weekend",357004,1350261
"10","Klamath Tribes","Annual Total",13666,0
"10001","Rhode Island Public Transit Authority","Annual Total",16718409,76423022
"10001","Rhode Island Public Transit Authority","Average Weekday",55910,248082
"10001","Rhode Island Public Transit Authority","Weekend",47395,233346
"10002","Manchester Transit Authority","Annual Total",420470,0
"10003","Massachusetts Bay Transportation Authority","Annual Total",372398838,1717994263
"10003","Massachusetts Bay Transportation Authority","Average Weekday",1238719,5998156
"10003","Massachusetts Bay Transportation Authority","Weekend",1051918,3674830
"10004","Brockton Area Transit Authority","Annual Total",2832408,18836714
"10004","Brockton Area Transit Authority","Average Weekday",10026,64070
"10004","Brockton Area Transit Authority","Weekend",5671,41499
"10005","Lowell Regional Transit Authority","Annual Total",1525986,7447028
"10005","Lowell Regional Transit Authority","Average Weekday",5755,27489
"10005","Lowell Regional Transit Authority","Weekend",1760,9941
"10006","Southeastern Regional Transit Authority","Annual Total",2706197,8914533
"10006","Southeastern Regional Transit Authority","Average Weekday",9865,32605
"10006","Southeastern Regional Transit Authority","Weekend",4032,12493
"10007","Berkshire Regional Transit Authority","Annual Total",570503,5228330
"10007","Berkshire Regional Transit Authority","Average Weekday",2002,18349
"10007","Berkshire Regional Transit Authority","Weekend",1248,11163
"10008","Pioneer Valley Transit Authority","Annual Total",11223169,41213664
"10008","Pioneer Valley Transit Authority","Average Weekday",38853,141912
"10008","Pioneer Valley Transit Authority","Weekend",25572,96788
"10013","Merrimack Valley Regional Transit Authority","Annual Total",2194507,10786065
"10013","Merrimack Valley Regional Transit Authority","Average Weekday",7578,38078
"10013","Merrimack Valley Regional Transit Authority","Weekend",5982,25538
"10014","Worcester Regional Transit Authority","Annual Total",3315655,14099388
"10014","Worcester Regional Transit Authority","Average Weekday",11581,48783
"10014","Worcester Regional Transit Authority","Weekend",6873,31039
"10015","Lewiston-Auburn Transit Committee","Annual Total",334373,0
"10016","Greater Portland Transit District","Annual Total",1947038,6733632
"10016","Greater Portland Transit District","Average Weekday",6614,22489
"10016","Greater Portland Transit District","Weekend",5020,19331
"10017","Greater Hartford Transit District","Annual Total",499199,4439221
"10017","Greater Hartford Transit District","Average Weekday",1747,15891
"10017","Greater Hartford Transit District","Weekend",857,5844
"10040","Southeast Area Transit District","Annual Total",958277,5653091
"10040","Southeast Area Transit District","Average Weekday",3220,19236
"10040","Southeast Area Transit District","Weekend",2776,15907
"10042","Valley Transit District","Annual Total",56095,396713
"10042","Valley Transit District","Average Weekday",222,1574
"10045","Connecticut Department of Transportation - CTTransit New Britain -Dattco.","Annual Total",392718,6132299
"10045","Connecticut Department of Transportation - CTTransit New Britain -Dattco.","Average Weekday",1364,21068
"10045","Connecticut Department of Transportation - CTTransit New Britain -Dattco.","Weekend",824,13136
"10048","Connecticut Department of Transportation - CTTRANSIT - Hartford Division","Annual Total",16206841,103268712
"10048","Connecticut Department of Transportation - CTTRANSIT - Hartford Division","Average Weekday",55478,363041
"10048","Connecticut Department of Transportation - CTTRANSIT - Hartford Division","Weekend",38869,202331
"10049","The Greater New Haven Transit District","Annual Total",226838,1630070
"10049","The Greater New Haven Transit District","Average Weekday",756,5554
"10049","The Greater New Haven Transit District","Weekend",572,3539
"10050","Greater Bridgeport Transit Authority","Annual Total",5296925,16889892
"10050","Greater Bridgeport Transit Authority","Average Weekday",17673,56773
"10050","Greater Bridgeport Transit Authority","Weekend",15165,46268
"10051","Housatonic Area Regional Transit","Annual Total",741496,5036095
"10051","Housatonic Area Regional Transit","Average Weekday",2606,17755
"10051","Housatonic Area Regional Transit","Weekend",1539,7837
"10053","Cape Ann Transportation Authority","Annual Total",220650,883891
"10053","Cape Ann Transportation Authority","Average Weekday",703,2455
"10053","Cape Ann Transportation Authority","Weekend",1348,5569
"10055","Connecticut Department of Transportation - CTTRANSIT New Haven Division","Annual Total",7681447,25517192
"10055","Connecticut Department of Transportation - CTTRANSIT New Haven Division","Average Weekday",25916,83450
"10055","Connecticut Department of Transportation - CTTRANSIT New Haven Division","Weekend",20206,79399
"10056","Connecticut Department of Transportation - CTTRANSIT Stamford Division","Annual Total",2839604,9819844
"10056","Connecticut Department of Transportation - CTTRANSIT Stamford Division","Average Weekday",9506,32320
"10056","Connecticut Department of Transportation - CTTRANSIT Stamford Division","Weekend",7762,29388
"10057","Norwalk Transit District","Annual Total",1528482,5762425
"10057","Norwalk Transit District","Average Weekday",5464,20311
"10057","Norwalk Transit District","Weekend",2983,12412
"10061","Montachusett Regional Transit Authority","Annual Total",933473,7374885
"10061","Montachusett Regional Transit Authority","Average Weekday",3468,32625
"10061","Montachusett Regional Transit Authority","Weekend",1064,3520
"10063","Middletown Transit District","Annual Total",302699,0
"10064","Greater Attleboro-Taunton Regional Transit Authority","Annual Total",1046478,5454502
"10064","Greater Attleboro-Taunton Regional Transit Authority","Average Weekday",3835,20228
"10064","Greater Attleboro-Taunton Regional Transit Authority","Weekend",1511,7915
"10066","Green Mountain Transit Authority","Annual Total",2304543,9973169
"10066","Green Mountain Transit Authority","Average Weekday",8035,36112
"10066","Green Mountain Transit Authority","Weekend",4694,13568
"10069","Regional Transportation Program, Inc.","Annual Total",102535,0
"10086","Cooperative Alliance for Seacoast Transportation","Annual Total",420525,3455463
"10086","Cooperative Alliance for Seacoast Transportation","Average Weekday",1508,12606
"10086","Cooperative Alliance for Seacoast Transportation","Weekend",759,4740
"10087","City of Nashua","Annual Total",463927,2083827
"10087","City of Nashua","Average Weekday",1626,7408
"10087","City of Nashua","Weekend",961,3973
"10088","Casco Bay Island Transit District","Annual Total",1111101,4018914
"10088","Casco Bay Island Transit District","Average Weekday",3039,11062
"10088","Casco Bay Island Transit District","Weekend",6029,21764
"10096","City of Bangor","Annual Total",799726,0
"10098","Western Maine Transportation Services, Inc.","Annual Total",214460,479635
"10098","Western Maine Transportation Services, Inc.","Average Weekday",679,1717
"10098","Western Maine Transportation Services, Inc.","Weekend",2050,3330
"10099","York County Community Action Corporation","Annual Total",132751,0
"10102","Connecticut Department of Transportation","Annual Total",908157,21896647
"10102","Connecticut Department of Transportation","Average Weekday",3200,74651
"10102","Connecticut Department of Transportation","Weekend",1729,52770
"10105","Cape Cod Regional Transit Authority","Annual Total",1165140,13657783
"10105","Cape Cod Regional Transit Authority","Average Weekday",3680,40662
"10105","Cape Cod Regional Transit Authority","Weekend",3055,36644
"10107","Milford Transit District","Annual Total",327400,1643797
"10107","Milford Transit District","Average Weekday",1096,5538
"10107","Milford Transit District","Weekend",824,4298
"10112","City of South Portland","Annual Total",273167,0
"10114","Biddeford-Saco-Old Orchard Beach Transit Committee Shuttle Bus","Annual Total",365267,0
"10115","Northern New England Passenger Rail Authority","Annual Total",551038,45119331
"10115","Northern New England Passenger Rail Authority","Average Weekday",1472,112662
"10115","Northern New England Passenger Rail Authority","Weekend",3207,302201
"10118","MetroWest Regional Transit Authority","Annual Total",827638,4334190
"10118","MetroWest Regional Transit Authority","Average Weekday",3084,17073
"10118","MetroWest Regional Transit Authority","Weekend",602,2548
"10119","University Of New Hampshire","Annual Total",1102422,0
"10122","Jalbert Leasing, Inc.","Annual Total",773547,0
"10123","Greater Derry Salem Cooperative Alliance for Regional Transportation","Annual Total",15741,0
"10128","Connecticut Department of Transportation- CTTransit Waterbury- NET","Annual Total",2211170,5030586
"10128","Connecticut Department of Transportation- CTTransit Waterbury- NET","Average Weekday",7418,17465
"10128","Connecticut Department of Transportation- CTTransit Waterbury- NET","Weekend",5358,9296
"10130","Connecticut Department of Transportation -CTTRANSIT New Britain","Annual Total",686105,4045171
"10130","Connecticut Department of Transportation -CTTRANSIT New Britain","Average Weekday",2539,14916
"10130","Connecticut Department of Transportation -CTTRANSIT New Britain","Weekend",446,2886
"10132","State of Connecticut - CTTransit - Nason - Torrington-Winsted","Annual Total",15051,0
"10133","Boston Express Bus, Inc.","Annual Total",609434,0
"10140","Estuary Transit District","Annual Total",86993,0
"10178","Town of Bedford","Annual Total",5144,0
"10179","City of Beverly","Annual Total",14372,0
"10180","City of Burlington","Annual Total",12711,0
"10181","Town of Lexington","Annual Total",63024,0
"10182","Mission Hill Link, Inc.","Annual Total",11571,0
"10183","Woods Hole, Martha's Vineyard and Nantucket Steamship Authority","Annual Total",3912733,41461929
"10183","Woods Hole, Martha's Vineyard and Nantucket Steamship Authority","Average Weekday",9874,105204
"10183","Woods Hole, Martha's Vineyard and Nantucket Steamship Authority","Weekend",25038,266252
"10184","The Mashpee Wampanoag Tribe","Annual Total",4727,0
"103","Squaxin Island Tribe","Annual Total",19629,0
"11","Valley Regional Transit","Annual Total",1369532,6765813
"11","Valley Regional Transit","Average Weekday",5117,26477
"11","Valley Regional Transit","Weekend",1378,4260
"111","Confederated Tribes and Bands of The Yakama Nation","Annual Total",26000,0
"11140","Houlton Band of Maliseet Indians","Annual Total",767,0
"11146","Aroostook Band of Micmacs","Annual Total",3891,0
"11147","Rhode Island Department of Transportation","Annual Total",41902,1080234
"11147","Rhode Island Department of Transportation","Average Weekday",256,6600
"11147","Rhode Island Department of Transportation","Weekend",975,25136
"11152","Mashantucket Pequot Tribal Nation","Annual Total",306756,0
"11159","Blooms Bus Lines, Inc.","Annual Total",62075,0
"11160","Peter Pan Bus Lines","Annual Total",231428,0
"11231","LimoLiner LLC","Annual Total",1016,0
"119","Confederated Tribes of the Umatilla Indian Reservation","Annual Total",72971,0
"12","Municipality of Anchorage","Annual Total",3566747,23837684
"12","Municipality of Anchorage","Average Weekday",12183,81524
"12","Municipality of Anchorage","Weekend",9496,49244
"127","Cowlitz Indian Tribe","Annual Total",6572,0
"135","Nez Perce Tribe","Annual Total",16217,0
"14","Sitka Tribe of Alaska","Annual Total",51504,0
"15","Snoqualmie Indian Tribe","Annual Total",1098,0
"16","RiverCities Transit","Annual Total",406939,1679244
"16","RiverCities Transit","Average Weekday",1431,5912
"16","RiverCities Transit","Weekend",805,3319
"17","Stillaguamish Tribe of Indians","Annual Total",17691,0
"175","Manley Village Council","Annual Total",59,0
"18","Ben Franklin Transit","Annual Total",3120955,33194079
"18","Ben Franklin Transit","Average Weekday",11149,121501
"18","Ben Franklin Transit","Weekend",4302,32510
"19","Intercity Transit","Annual Total",4475180,37295807
"19","Intercity Transit","Average Weekday",14913,130807
"19","Intercity Transit","Weekend",12412,67828
"199","Seldovia Village Tribe","Annual Total",11188,0
"1R01-10131","Northwestern CT Transit District","Annual Total",69278,0
"1R01-10149","Windham Region Transit District","Annual Total",178580,0
"1R01-10156","Northeastern Connecticut Transit District","Annual Total",43414,0
"1R02-10145","Martha's Vineyard Transit Authority","Annual Total",1360497,0
"1R02-10157","Peter Pan Bus Lines","Annual Total",3853,0
"1R02-10162","Nantucket Regional Transit Authority","Annual Total",283330,0
"1R02-10173","Franklin Regional Transit Authority","Annual Total",149242,0
"1R02-10176","Plymouth & Brockton Street Railway Co.","Annual Total",15288,0
"1R02-60208","Greyhound Lines, Inc.","Annual Total",10456,0
"1R03-10134","Penquis Community Action Program","Annual Total",307503,0
"1R03-10142","Aroostook Regional Transportation Systems, Inc.","Annual Total",66017,0
"1R03-10147","John T. Cyr & Sons, Inc.","Annual Total",11847,0
"1R03-10152","City of Bath","Annual Total",13263,0
"1R03-10153","Town of Cranberry Isles","Annual Total",3646,0
"1R03-10155","Kennebec Valley Community Action Program","Annual Total",193539,0
"1R03-10167","Isle au Haut Boat Services","Annual Total",23704,0
"1R03-10169","Waldo Community Action Partners","Annual Total",87932,0
"1R03-10175","Downeast Transportation, Inc.","Annual Total",638232,0
"1R03-10177","West's Transportation, Inc.","Annual Total",8319,0
"1R03-11153","West's Transportation - Intercity Bus","Annual Total",2868,0
"1R03-11161","Downeast Community Partners, Inc.","Annual Total",58158,0
"1R04-10135","Concord Coach Lines, Inc.","Annual Total",15987,0
"1R04-10137","Advance Transit, Inc. NH","Annual Total",741824,0
"1R04-10159","VNA Home Healthcare, Hospice & Community Service","Annual Total",44448,0
"1R04-10161","Belknap-Merrimack CAP/Concord Area Transit","Annual Total",79937,0
"1R04-10170","Tri-County CAP, Inc./Carroll County Transit","Annual Total",6416,0
"1R04-10172","Tri-County CAP, Inc./North Country Transit","Annual Total",42993,0
"1R04-11156","Southwestern Community Services Transportation","Annual Total",22984,0
"1R06-10137","Advance Transit, Inc. NH","Annual Total",135897,0
"1R06-10143","Tri-Valley Transit Inc","Annual Total",283252,0
"1R06-10144","Southeast Vermont Transit, Inc","Annual Total",526906,0
"1R06-10148","Rural Community Transportation","Annual Total",236972,0
"1R06-10151","Green Mountain Community Network","Annual Total",166972,0
"1R06-10154","Marble Valley Regional Transit District","Annual Total",695364,0
"1R06-10165","Chittenden County Transportation Authority d/b/a Green Mountain Transit Agency","Annual Total",428622,0
"1R06-10174","Vermont Association for the Blind and Visually Impaired","Annual Total",4838,0
"1R06-11158","Premier Coach Co., Inc.","Annual Total",16597,0
"1R06-60208","Greyhound Lines, Inc.","Annual Total",14268,0
"2","Spokane Transit Authority","Annual Total",10702358,49559241
"2","Spokane Transit Authority","Average Weekday",36324,172240
"2","Spokane Transit Authority","Weekend",25159,107395
"20","Kitsap Transit","Annual Total",3828754,23977949
"20","Kitsap Transit","Average Weekday",14250,90592
"20","Kitsap Transit","Weekend",3647,26060
"20002","Capital District Transportation Authority","Annual Total",16344326,62361407
"20002","Capital District Transportation Authority","Average Weekday",53590,203129
"20002","Capital District Transportation Authority","Weekend",47525,171525
"20003","Broome County","Annual Total",2034080,7652374
"20003","Broome County","Average Weekday",7067,26815
"20003","Broome County","Weekend",3633,14233
"20004","Niagara Frontier Transportation Authority","Annual Total",25158937,87339282
"20004","Niagara Frontier Transportation Authority","Average Weekday",86664,295517
"20004","Niagara Frontier Transportation Authority","Weekend",58344,224849
"20005","Chemung County","Annual Total",549095,0
"20006","City of Long Beach","Annual Total",215180,625929
"20006","City of Long Beach","Average Weekday",732,2033
"20006","City of Long Beach","Weekend",464,1833
"20008","MTA New York City Transit","Annual Total",3368102551,11721684766
"20008","MTA New York City Transit","Average Weekday",10902315,38124407
"20008","MTA New York City Transit","Weekend",10924108,37111701
"20010","Dutchess County","Annual Total",746721,4356678
"20010","Dutchess County","Average Weekday",2488,14675
"20010","Dutchess County","Weekend",2162,11843
"20018","Central New York Regional Transportation Authority","Annual Total",10396768,34972372
"20018","Central New York Regional Transportation Authority","Average Weekday",34720,127206
"20018","Central New York Regional Transportation Authority","Weekend",17310,57635
"20071","Town of Huntington","Annual Total",162293,818294
"20071","Town of Huntington","Average Weekday",605,3049
"20071","Town of Huntington","Weekend",251,1083
"20072","Suffolk County","Annual Total",4637017,37272797
"20072","Suffolk County","Average Weekday",15038,120852
"20072","Suffolk County","Weekend",15303,124540
"20075","Port Authority Transit Corporation","Annual Total",10789374,96375041
"20075","Port Authority Transit Corporation","Average Weekday",37858,340343
"20075","Port Authority Transit Corporation","Weekend",25050,213337
"20076","Westchester County","Annual Total",27703995,122155656
"20076","Westchester County","Average Weekday",94057,418324
"20076","Westchester County","Weekend",70931,296767
"20078","Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad","Annual Total",92437511,2155676317
"20078","Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad","Average Weekday",310201,7093061
"20078","Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad","Weekend",254725,6412429
"20080","New Jersey Transit Corporation","Annual Total",264671519,3402633640
"20080","New Jersey Transit Corporation","Average Weekday",910134,10862182
"20080","New Jersey Transit Corporation","Weekend",671862,11800016
"20082","New York City Department of Transportation","Annual Total",25002749,144028664
"20082","New York City Department of Transportation","Average Weekday",75936,451150
"20082","New York City Department of Transportation","Weekend",100277,521442
"20084","County of Rockland","Annual Total",2101315,16064159
"20084","County of Rockland","Average Weekday",6779,49668
"20084","County of Rockland","Weekend",6850,60904
"20085","Town of Clarkstown","Annual Total",113957,0
"20089","Village of Spring Valley","Annual Total",6528,0
"20096","Putnam County","Annual Total",120711,986707
"20096","Putnam County","Average Weekday",431,3484
"20096","Putnam County","Weekend",247,2215
"20098","Port Authority Trans-Hudson Corporation","Annual Total",91036214,448342660
"20098","Port Authority Trans-Hudson Corporation","Average Weekday",311519,1529933
"20098","Port Authority Trans-Hudson Corporation","Weekend",216241,1081907
"20099","Staten Island Rapid Transit Operating Authority","Annual Total",8129661,50703762
"20099","Staten Island Rapid Transit Operating Authority","Average Weekday",28910,181962
"20099","Staten Island Rapid Transit Operating Authority","Weekend",14189,85366
"20100","MTA Long Island Rail Road","Annual Total",105538101,3405961936
"20100","MTA Long Island Rail Road","Average Weekday",382014,10442800
"20100","MTA Long Island Rail Road","Weekend",269857,13665858
"20113","Regional Transit Service - Monroe County","Annual Total",15093789,52181810
"20113","Regional Transit Service - Monroe County","Average Weekday",51104,177159
"20113","Regional Transit Service - Monroe County","Weekend",37727,128535
"20120","City of Glens Falls","Annual Total",304306,0
"20122","Academy Lines, Inc.","Annual Total",3281863,151141079
"20122","Academy Lines, Inc.","Average Weekday",12398,593743
"20122","Academy Lines, Inc.","Weekend",950,47336
"20126","Hudson Transit Lines, Inc.","Annual Total",4309984,196203402
"20126","Hudson Transit Lines, Inc.","Average Weekday",15186,683370
"20126","Hudson Transit Lines, Inc.","Weekend",9650,472850
"20128","Suburban Transit Corporation","Annual Total",2469185,93829030
"20128","Suburban Transit Corporation","Average Weekday",8630,327953
"20128","Suburban Transit Corporation","Weekend",4979,179264
"20135","Monsey New Square Trails Corporation","Annual Total",615949,25869858
"20135","Monsey New Square Trails Corporation","Average Weekday",2198,88320
"20135","Monsey New Square Trails Corporation","Weekend",990,49844
"20137","Monroe Bus Corporation","Annual Total",308378,17875468
"20137","Monroe Bus Corporation","Average Weekday",929,53549
"20137","Monroe Bus Corporation","Weekend",1419,83604
"20143","Town of Newburgh","Annual Total",4527,0
"20145","Tompkins Consolidated Area Transit","Annual Total",4223437,12125152
"20145","Tompkins Consolidated Area Transit","Average Weekday",14307,41114
"20145","Tompkins Consolidated Area Transit","Weekend",10782,30641
"20148","Newburgh Beacon Bus Corporation","Annual Total",144856,0
"20149","Rockland Coaches, Inc.","Annual Total",1996805,50090570
"20149","Rockland Coaches, Inc.","Average Weekday",7000,178096
"20149","Rockland Coaches, Inc.","Weekend",3530,85795
"20160","Community Transit, Inc.","Annual Total",484952,0
"20161","DeCamp Bus Lines","Annual Total",1843456,30996958
"20161","DeCamp Bus Lines","Average Weekday",6636,108399
"20161","DeCamp Bus Lines","Weekend",3570,60277
"20163","Lakeland Bus Lines, Inc.","Annual Total",1624066,52870209
"20163","Lakeland Bus Lines, Inc.","Average Weekday",5784,196686
"20163","Lakeland Bus Lines, Inc.","Weekend",3098,103399
"20165","Olympia Trails Bus Company, Inc.","Annual Total",571050,0
"20166","Orange-Newark-Elizabeth, Inc.","Annual Total",6810464,16781260
"20166","Orange-Newark-Elizabeth, Inc.","Average Weekday",22137,53514
"20166","Orange-Newark-Elizabeth, Inc.","Weekend",21832,58608
"20169","Trans-Bridge Lines, Inc.","Annual Total",1120022,79839500
"20169","Trans-Bridge Lines, Inc.","Average Weekday",3667,258320
"20169","Trans-Bridge Lines, Inc.","Weekend",3461,260630
"20175","Private Transportation Corporation","Annual Total",697057,4123830
"20175","Private Transportation Corporation","Average Weekday",2341,13508
"20175","Private Transportation Corporation","Weekend",2543,16729
"20176","Kaser Bus Service","Annual Total",31498,0
"20177","Adirondack Transit Lines, Inc,","Annual Total",527799,41046163
"20177","Adirondack Transit Lines, Inc,","Average Weekday",1474,117316
"20177","Adirondack Transit Lines, Inc,","Weekend",2748,200646
"20178","Ulster County","Annual Total",376904,3694314
"20178","Ulster County","Average Weekday",1480,13917
"20178","Ulster County","Weekend",354,3927
"20179","Leprechaun Lines, Inc.","Annual Total",30778,0
"20182","Town of Highlands","Annual Total",4807,0
"20183","Town of Monroe","Annual Total",28388,0
"20187","Village of Kiryas Joel","Annual Total",146060,0
"20188","MTA Bus Company","Annual Total",137618503,381346415
"20188","MTA Bus Company","Average Weekday",444892,1247845
"20188","MTA Bus Company","Weekend",448320,1165671
"20189","BillyBey Ferry Company, LLC","Annual Total",1914658,3728167
"20189","BillyBey Ferry Company, LLC","Average Weekday",6635,14043
"20189","BillyBey Ferry Company, LLC","Weekend",4325,3372
"20190","Port Imperial Ferry Corporation","Annual Total",8024422,25685026
"20190","Port Imperial Ferry Corporation","Average Weekday",27629,94804
"20190","Port Imperial Ferry Corporation","Weekend",19310,32749
"20191","City of Kingston","Annual Total",76269,0
"20192","Bergen County","Annual Total",255590,1631345
"20192","Bergen County","Average Weekday",1065,6885
"20193","Cumberland County","Annual Total",77972,481493
"20193","Cumberland County","Average Weekday",312,1926
"20194","East Windsor Township","Annual Total",11667,0
"20195","Gloucester County","Annual Total",25266,0
"20196","Middlesex County","Annual Total",267932,3506840
"20196","Middlesex County","Average Weekday",1098,14372
"20197","Meadowlands Transportation Brokerage Corporation","Annual Total",256197,0
"20199","County of Atlantic","Annual Total",118612,912150
"20199","County of Atlantic","Average Weekday",433,3355
"20199","County of Atlantic","Weekend",125,701
"20200","South Jersey Transportation Authority","Annual Total",190566,0
"20201","County of Cumberland","Annual Total",66631,0
"20203","Cape May County","Annual Total",108288,0
"20204","Senior Citizens United Community Services of Camden County, Inc.","Annual Total",149129,889699
"20204","Senior Citizens United Community Services of Camden County, Inc.","Average Weekday",599,3573
"20206","County of Nassau","Annual Total",23312522,129518992
"20206","County of Nassau","Average Weekday",77333,428972
"20206","County of Nassau","Weekend",66835,373967
"20208","County of Burlington","Annual Total",74930,0
"20209","Somerset County","Annual Total",365008,2159150
"20209","Somerset County","Average Weekday",1461,8673
"20210","Morris County Human Services","Annual Total",52057,0
"20211","County of Mercer","Annual Total",107347,0
"20212","County of Hunterdon","Annual Total",127006,0
"20213","City of Mechanicville","Annual Total",5077,0
"20214","Town of Warwick","Annual Total",26695,0
"20215","City of Watertown NY","Annual Total",116060,0
"20216","Orange County","Annual Total",25347,0
"20217","Hampton Jitney, Inc.","Annual Total",795411,73791820
"20217","Hampton Jitney, Inc.","Average Weekday",2129,198726
"20217","Hampton Jitney, Inc.","Weekend",4652,425107
"20219","A&C Bus Corporation & Montgomery & Westside Owners Association","Annual Total",4104348,0
"20220","Broadway Bus Corporation","Annual Total",743537,0
"20222","Saddle River Trail, Inc.","Annual Total",186890,0
"207","Spokane Tribe of Indians","Annual Total",36744,0
